nome_parceiro,nome_produto,count_contratos,valor_aluguel,valor_aluguel_acumulado,date_inicio_contrato_mais_rescente,porcentagem_acumulada,classe,pontualizado
REIS SOLUCOES IMOBILIARIA LTDA,Smart,1,1300.00,9264855.08,2025-08-01,99.885773,C,1.0
BOMYER CONSULTORIA IMOBILIARIA LTDA,Smart,1,1255.00,9266110.08,2024-07-09,99.899303,C,1.0
WE IMOBILIARIA LTDA,Smart,2,1250.00,9267360.08,2024-04-30,99.91278,C,1.0
ELISA TOMIE HATADANI,Smart,1,1100.00,9268460.08,2024-09-16,99.924639,C,1.0
Rones Imóveis,Smart,1,1090.00,9269550.08,2022-01-03,99.93639,C,1.0
Teste Parceiro UP - Full,Smart,1,1000.00,9270550.08,2025-10-01,99.947171,C,1.0
Light Safe - HABITAR ADMINISTRACAO DE IMOVEIS LTDA,Light,1,1000.00,9271550.08,2025-09-05,99.957953,C,1.0
ACTION GROUP SOLUTIONS LTDA,Smart,1,930.09,9272480.17,2023-05-11,99.96798,C,1.0
LIDIANE PINTO DE CERQUEIRA,Smart,1,900.00,9273380.17,2023-10-20,99.977683,C,1.0
CLEONICE FARIAS DE OLIVEIRA,Full,1,800.00,9274180.17,2024-06-15,99.986308,C,1.0
PAULO DIAS IMOVEIS LTDA,Full,1,800.00,9274980.17,2026-02-08,99.994933,C,1.0
ANDRÉ RODRIGUES DE SOUZA CARDOSO JUNIOR,Smart,1,350.00,9275330.17,2023-02-07,99.998706,C,1.0
SOU IMOVEIS GESTAO DE NEGOCIOS IMOBILIARIOS LTDA,Full,1,10.00,9275340.17,2023-06-07,99.998814,C,1.0
ELITE NEGOCIOS IMOBILIARIOS LTDA,Full,1,10.00,9275350.17,2026-01-25,99.998922,C,1.0
BMX ASSESSORIA IMOBILIARIA LTDA,Full,1,10.00,9275360.17,2025-08-09,99.99903,C,1.0
VELOPE IMOVEIS LTDA,Full,1,10.00,9275370.17,2021-10-13,99.999138,C,1.0
BRUM ADMINISTRADORA DE IMOVEIS LTDA,Full,1,10.00,9275380.17,2025-12-15,99.999245,C,2.0
888 GESTAO EMPRESARIAL LTDA,Full,1,10.00,9275390.17,2025-07-28,99.999353,C,1.0
CASTRO E BITENCOURT NEGÓCIOS IMOBILIÁRIOS LTDA,Full,1,10.00,9275400.17,2026-01-28,99.999461,C,2.0
ACVIANA EMPREENDIMENTOS IMOBILIÁRIOS LTDA,Full,1,10.00,9275410.17,5450-07-15,99.999569,C,2.0
MONTREAL IMOVEIS LTDA,Full,1,10.00,9275420.17,2025-12-05,99.999677,C,2.0
RSANCHES IMÓVEIS SERVIÇOS DE CORRETAGEM LTDA,Full,1,10.00,9275430.17,2026-02-13,99.999784,C,2.0
HELLO NEGOCIOS IMOBILIARIOS LTDA,Full,1,10.00,9275440.17,2025-08-08,99.999892,C,2.0
RMX GESTAO IMOBILIARIA E INVESTIMENTOS LTDA,Full,1,10.00,9275450.17,2025-07-29,100.0,C,1.0
Teste Parceiro UP - Full,Bank,0,0.00,9275450.17,,100.0,C,0.0
JC MAUER APOIO ADMINISTRATIVO S/S LTDA. - ME,Smart,0,0.00,9275450.17,2021-09-15,100.0,C,1.0
BARCALA IMOVEIS LTDA,Smart,0,0.00,9275450.17,2022-06-01,100.0,C,1.0
M. FERRO DE OLIVEIRA CORRETAGEM DE IMOVEIS LTDA,Smart,0,0.00,9275450.17,2024-07-13,100.0,C,1.0
QUELHAS IMOBILIARIA E CONSULTORIA LTDA,Smart,0,0.00,9275450.17,2022-10-28,100.0,C,1.0
BSBROKERS AGÊNCIA IMOBILIÁRIA LTDA,Smart,0,0.00,9275450.17,2024-02-05,100.0,C,1.0
LUCIO ORLANDO COSER,Smart,0,0.00,9275450.17,2022-12-07,100.0,C,1.0
KONFIA IMÓVEIS LTDA,Smart,0,0.00,9275450.17,2022-12-08,100.0,C,1.0
LENILTON DE SOUZA PAIXÃO,Smart,0,0.00,9275450.17,2024-06-03,100.0,C,1.0
NNI - NATRIELLI NEGÓCIOS IMOBILIÁRIOS LTDA.,Smart,0,0.00,9275450.17,2022-09-01,100.0,C,1.0
SEBASTIAN EDUARDO STABROWSKI BARRUECO,Smart,0,0.00,9275450.17,2022-04-26,100.0,C,1.0
CAPITOLIO IMOVEIS ADMINISTRACAO DE BENS LTDA,Smart,0,0.00,9275450.17,2022-04-20,100.0,C,1.0
CDOMINGUES SOLUÇÕES IMOBILIÁRIAS LTDA.,Smart,0,0.00,9275450.17,2024-10-09,100.0,C,1.0
CONNECT GESTÃO E MEDIAÇÃO IMOBILIÁRIA LTDA,Full,0,0.00,9275450.17,2025-07-14,100.0,C,1.0
SHEILA AUGUSTA DE OLIVEIRA FURTADO,Smart,0,0.00,9275450.17,2023-09-18,100.0,C,1.0
 RVEIGA IMÓVEIS LTDA,Smart,0,0.00,9275450.17,2022-10-06,100.0,C,1.0
MATER IMÓVEIS LTDA,Smart,0,0.00,9275450.17,2023-01-23,100.0,C,1.0
GRASSI ASSESSORIA IMOBILIARIA E CLIMATIZACAO LTDA,Smart,0,0.00,9275450.17,2023-02-10,100.0,C,1.0
PAULO DIAS IMOVEIS LTDA,Smart,0,0.00,9275450.17,2024-01-05,100.0,C,1.0
LUCIANI APARECIDA ESTIVALET FREITAS,Smart,0,0.00,9275450.17,2022-12-03,100.0,C,1.0
THAIS MOURA KNEIPP 07300606679,Smart,0,0.00,9275450.17,2023-01-02,100.0,C,1.0
